                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1041,                 3.3076,                 4.2191,                0.01079,                0.96216,                0.04933,                0.02634,                 2.9017,                 3.1495,                 4.1587,                0.00012,                0.00012,                0.00012
                      2,                 3.1765,                 3.2533,                 4.2058,                0.01094,                0.97568,                0.05859,                0.03093,                 2.9006,                  3.135,                 4.1562,             0.00025743,             0.00025743,             0.00025743
                      3,                 3.0852,                 3.2121,                 4.1708,                0.01088,                0.97027,                0.06217,                 0.0296,                 2.8956,                 3.1177,                 4.1492,             0.00039208,             0.00039208,             0.00039208
                      4,                 3.0818,                  3.121,                 4.1365,                0.01091,                0.97297,                0.05876,                0.03121,                 2.8844,                 3.1443,                 4.1382,             0.00052396,             0.00052396,             0.00052396
                      5,                 3.0772,                 3.0782,                 4.0907,                0.01088,                0.97027,                0.06708,                0.03102,                 2.8501,                 3.0763,                 4.1014,             0.00065307,             0.00065307,             0.00065307
                      6,                  3.024,                 3.0456,                  4.031,                0.01085,                0.96757,                0.08559,                0.03659,                 2.7639,                   3.06,                 4.0263,             0.00077941,             0.00077941,             0.00077941
                      7,                 2.9947,                 3.0394,                 3.9685,                0.01018,                0.90811,                0.03608,                0.01452,                 2.7207,                 2.7881,                 3.7347,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.9521,                 2.9635,                 3.8897,                0.01488,                0.89459,                0.05372,                0.01766,                 2.7966,                 2.8334,                 3.6937,              0.0010238,              0.0010238,              0.0010238
                      9,                 3.0413,                 2.9637,                 3.8497,                0.01838,                0.90811,                 0.1026,                0.03142,                 2.7243,                 3.0439,                 4.1687,              0.0011418,              0.0011418,              0.0011418
                     10,                 2.9441,                 2.9288,                 3.7433,                 0.0222,                    0.9,                0.09333,                 0.0309,                 2.6965,                 3.2768,                 4.1415,               0.001257,               0.001257,               0.001257
                     11,                  2.944,                 2.9853,                 3.7166,                0.02124,                0.89189,                0.11131,                0.03552,                 2.6784,                 3.4908,                 3.9517,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.9977,                 3.0011,                 3.6884,                0.03101,                0.85946,                 0.0665,                0.02289,                 2.7418,                 11.194,                 5.8223,              0.0014792,              0.0014792,              0.0014792
                     13,                 2.9401,                 2.9778,                 3.6172,                0.03739,                0.84054,                0.07349,                0.02477,                 2.7081,                 6.2615,                 4.1168,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.9173,                 2.9355,                 3.5621,                0.05149,                0.64054,                0.06294,                0.02241,                 2.7183,                 4.5701,                 3.0392,              0.0016903,              0.0016903,              0.0016903
                     15,                 2.8302,                 2.9408,                 3.5081,                0.02692,                0.88108,                0.04979,                0.01829,                 2.7933,                 28.633,                 3.3337,              0.0017228,              0.0017228,              0.0017228
                     16,                   2.82,                 2.9207,                 3.4198,                0.03556,                0.40541,                 0.0339,                0.01516,                 2.5775,                 3.9768,                 3.7394,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.7658,                 2.9115,                 3.3763,                0.08726,                0.39189,                0.06677,                0.02664,                 2.5839,                 3.0273,                 3.3668,               0.001703,               0.001703,               0.001703
                     18,                 2.9125,                 2.9509,                 3.4269,                0.18677,                0.35814,                0.16307,                0.05796,                 2.6933,                 3.9909,                 3.3581,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.7386,                 2.9409,                 3.3326,                0.21557,                0.39459,                0.20445,                0.06428,                 2.8783,                 3.5164,                 3.6701,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.7051,                 2.8983,                 3.3257,                0.08829,                0.67297,                0.12861,                0.04424,                 3.0386,                 4.0075,                 3.8178,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.6982,                  2.915,                 3.3025,                0.08312,                0.78378,                0.11083,                0.04047,                 2.9208,                 3.4581,                 3.6876,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.7442,                 2.8856,                 3.2584,                0.11869,                0.67568,                 0.1203,                0.04538,                 2.6182,                 3.1816,                 3.2725,               0.001604,               0.001604,               0.001604
                     23,                 2.6408,                 2.8839,                 3.2447,                 0.1594,                0.50811,                0.18165,                0.05807,                 2.5102,                 3.4433,                 3.0718,              0.0015842,              0.0015842,              0.0015842
                     24,                  2.652,                 2.8736,                 3.1997,                0.17499,                0.24324,                0.12072,                0.03789,                 2.4844,                 3.5843,                 3.1044,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.5987,                 2.8555,                 3.1904,                 0.0611,                0.28108,                0.07405,                0.02429,                 2.5165,                 3.4245,                 3.3616,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.5572,                 2.8332,                 3.1271,                0.11855,                0.34865,                0.11729,                0.04097,                 2.5801,                 4.1643,                 3.2429,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.6019,                 2.8435,                 3.1312,                0.12484,                0.61892,                0.15612,                0.05174,                 2.6076,                 3.5968,                  3.202,               0.001505,               0.001505,               0.001505
                     28,                 2.5952,                 2.8275,                 3.1064,                0.08309,                0.84054,                 0.2093,                0.06926,                 2.5771,                 2.7395,                 3.2631,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.5055,                 2.7846,                   3.06,                0.07694,                0.87297,                0.19274,                0.06489,                 2.5377,                 2.7587,                 3.2374,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.4593,                 2.8183,                 3.0629,                 0.0721,                0.85676,                0.19857,                0.06758,                 2.5977,                 2.9366,                 3.4719,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.5021,                 2.7445,                 3.0367,                0.06759,                0.83784,                0.14384,                0.04862,                 2.6073,                 2.5849,                  3.585,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.4593,                 2.7852,                 3.0141,                0.06105,                0.65135,                0.11211,                0.03469,                 2.8278,                 2.6402,                 3.6877,               0.001406,               0.001406,               0.001406
                     33,                 2.4769,                 2.7195,                 2.9941,                0.07433,                0.63514,                0.12275,                0.04149,                 2.7128,                 2.6372,                 3.6397,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.4156,                  2.775,                 3.0187,                0.14917,                 0.7027,                 0.2769,                0.09959,                 2.6884,                 2.8142,                 3.5708,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.3931,                 2.7129,                 2.9961,                0.18368,                0.57568,                0.27747,                0.10233,                 2.5255,                 2.7133,                 3.4006,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.4289,                 2.7218,                 3.0142,                0.13989,                0.65676,                0.24549,                0.08471,                 2.4819,                 2.7276,                 3.4084,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.3486,                 2.6933,                 2.9404,                0.13001,                0.63514,                0.22914,                0.07981,                 2.4018,                 2.6676,                 3.2938,               0.001307,               0.001307,               0.001307
                     38,                 2.3178,                  2.625,                  2.903,                0.18159,                0.56216,                0.27475,                 0.1006,                 2.3044,                 2.7557,                 3.0655,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.3042,                 2.6338,                 2.8994,                0.28063,                0.45969,                0.31868,                0.11682,                  2.392,                 2.8055,                 3.1039,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.3065,                 2.6238,                 2.8892,                0.29463,                0.46486,                0.35551,                 0.1372,                 2.4971,                 2.6879,                 3.2183,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.2926,                 2.6598,                 2.8385,                 0.3228,                0.45946,                 0.3512,                0.13818,                 2.4684,                 2.6615,                 3.1697,              0.0012278,              0.0012278,              0.0012278
                     42,                  2.221,                 2.6182,                 2.7892,                0.34187,                0.46216,                0.39179,                0.15772,                 2.3208,                 2.6356,                 2.9061,               0.001208,               0.001208,               0.001208
